date,region,regular,mid_grade,premium,diesel,mom_change,yoy_change,source_url,fetched_at
2026-04-21,State,5.651,5.913,6.164,7.186,0.484,1.144,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:07Z
2026-04-21,Hawaii,5.665,5.906,6.22,7.164,0.335,1.003,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:07Z
2026-04-21,Maui,5.606,5.903,6.142,7.778,0.303,1.084,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:07Z
2026-04-21,Honolulu,5.628,5.908,6.17,6.936,0.586,1.199,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:07Z
2026-04-21,Kauai,5.965,6.226,6.459,7.299,0.477,0.864,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:07Z
2026-04-21,State,5.651,5.913,6.164,7.186,0.484,1.144,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:16Z
2026-04-21,Hawaii,5.665,5.906,6.22,7.164,0.335,1.003,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:16Z
2026-04-21,Maui,5.606,5.903,6.142,7.778,0.303,1.084,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:16Z
2026-04-21,Honolulu,5.628,5.908,6.17,6.936,0.586,1.199,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:16Z
2026-04-21,Kauai,5.965,6.226,6.459,7.299,0.477,0.864,https://gasprices.aaa.com/?state=HI,2026-04-21T22:41:16Z
2026-04-22,State,5.658,5.883,6.149,7.177,0.452,1.146,https://gasprices.aaa.com/?state=HI,2026-04-22T20:50:27Z
2026-04-22,Hawaii,5.655,5.887,6.21,7.012,0.275,1.004,https://gasprices.aaa.com/?state=HI,2026-04-22T20:50:27Z
2026-04-22,Maui,5.677,5.847,6.093,7.786,0.313,1.141,https://gasprices.aaa.com/?state=HI,2026-04-22T20:50:27Z
2026-04-22,Honolulu,5.622,5.887,6.158,6.951,0.558,1.188,https://gasprices.aaa.com/?state=HI,2026-04-22T20:50:27Z
2026-04-22,Kauai,5.971,6.232,6.399,7.359,0.425,0.87,https://gasprices.aaa.com/?state=HI,2026-04-22T20:50:27Z
2026-04-22,State,5.658,5.883,6.149,7.177,0.452,1.146,https://gasprices.aaa.com/?state=HI,2026-04-22T21:46:26Z
2026-04-22,Hawaii,5.655,5.887,6.21,7.012,0.275,1.004,https://gasprices.aaa.com/?state=HI,2026-04-22T21:46:26Z
2026-04-22,Maui,5.677,5.847,6.093,7.786,0.313,1.141,https://gasprices.aaa.com/?state=HI,2026-04-22T21:46:26Z
2026-04-22,Honolulu,5.622,5.887,6.158,6.951,0.558,1.188,https://gasprices.aaa.com/?state=HI,2026-04-22T21:46:26Z
2026-04-22,Kauai,5.971,6.232,6.399,7.359,0.425,0.87,https://gasprices.aaa.com/?state=HI,2026-04-22T21:46:26Z
2026-05-22,State,5.653,5.925,6.151,7.139,-0.005,1.162,https://gasprices.aaa.com/?state=HI,2026-05-22T20:52:40Z
2026-05-22,Hawaii,5.644,5.941,6.179,7.049,-0.011,0.984,https://gasprices.aaa.com/?state=HI,2026-05-22T20:52:40Z
2026-05-22,Maui,5.666,5.903,5.99,7.548,-0.011,1.179,https://gasprices.aaa.com/?state=HI,2026-05-22T20:52:40Z
2026-05-22,Honolulu,5.622,5.911,6.155,6.944,0.0,1.211,https://gasprices.aaa.com/?state=HI,2026-05-22T20:52:40Z
2026-05-22,Kauai,5.955,6.239,6.489,7.399,-0.016,0.897,https://gasprices.aaa.com/?state=HI,2026-05-22T20:52:40Z
2026-06-16,State,5.584,5.797,6.066,7.021,,,https://gasprices.aaa.com/?state=HI,2026-07-17T00:45:14Z
2026-06-16,Hawaii,5.643,5.879,6.197,7.041,,,https://gasprices.aaa.com/?state=HI,2026-07-17T00:45:14Z
2026-06-16,Maui,5.641,5.549,5.869,7.322,,,https://gasprices.aaa.com/?state=HI,2026-07-17T00:45:14Z
2026-06-16,Honolulu,5.546,5.813,6.092,6.921,,,https://gasprices.aaa.com/?state=HI,2026-07-17T00:45:14Z
2026-06-16,Kauai,5.905,6.199,5.899,7.249,,,https://gasprices.aaa.com/?state=HI,2026-07-17T00:45:14Z
2026-07-17,State,5.439,5.665,5.899,6.918,-0.145,0.963,https://gasprices.aaa.com/?state=HI,2026-07-17T00:54:42Z
2026-07-17,Hawaii,5.511,5.768,6.118,6.952,-0.132,0.873,https://gasprices.aaa.com/?state=HI,2026-07-17T00:54:42Z
2026-07-17,Maui,5.497,5.588,5.764,7.088,-0.144,1.004,https://gasprices.aaa.com/?state=HI,2026-07-17T00:54:42Z
2026-07-17,Honolulu,5.383,5.657,5.905,6.794,-0.163,0.996,https://gasprices.aaa.com/?state=HI,2026-07-17T00:54:42Z
2026-07-17,Kauai,5.79,6.102,6.314,7.239,-0.115,0.757,https://gasprices.aaa.com/?state=HI,2026-07-17T00:54:42Z
